a  -190 -27    
s  -152 -27    
d  -114 -27    
f  -76 -27     
g  -38 -27     
h  0 -27       
j  38 -27      
k  76 -27      
l  114 -27     
;  152 -27     
'  190 -27     
q  -200 10     
w  -162 10     
e  -124 10     
r  -86 10      
t  -48 10      
y  -10 10      
u  28 10       
i  66 10       
o  104 10      
p  142 10      
[  180 10      
]  218 10      
\  256 10      
z  -171 -64    
x  -133 -64    
c  -95 -64     
v  -57 -64     
b  -19 -64     
n  19 -64      
m  57 -64      
,  95 -64      
.  133 -64     
/  171 -64     
`  -257 47     
1  -219 47     
2  -181 47     
3  -143 47     
4  -105 47     
5  -67 47      
6  -29 47      
7  9 47        
8  47 47       
9  85 47       
0  123 47      
-  161 47      
=  199 47      
