a 210 273
s 248 273
d 286 273
f 324 273
g 362 273
h 400 273
j 438 273
k 476 273
l 514 273
; 552 273
' 590 273
q 200 310
w 238 310
e 276 310
r 314 310
t 352 310
y 390 310
u 428 310
i 466 310
o 504 310
p 542 310
[ 580 310
] 618 310
\ 656 310
z 229 236
x 267 236
c 305 236
v 343 236
b 381 236
n 419 236
m 457 236
, 495 236
. 533 236
/ 571 236
` 143 347
1 181 347
2 219 347
3 257 347
4 295 347
5 333 347
6 371 347
7 409 347
8 447 347
9 485 347
0 523 347
- 561 347
= 599 347
